id,item_type,title,chars,words
2023,Still Image,"Außenansicht des Kinos während der Wehrmachtzeit, vermutlich 1938",256,44
2024,Contextual Item,Ansichten des Offiziersheims aus Wehrmachtzeiten,462,73
2025,Contextual Item,Ansichten aus der Wehrmachtzeit,381,59
2026,Landscape Item,LND Bridges,7,1
2027,Landscape Item,Documentation centre,20,2
2028,Landscape Item,Anne Frank square,17,3
2029,Landscape Item,LND Watchtower (#T2),12,2
2030,Landscape Item,LND POW monument (girl),8,1
2031,Landscape Item,LND Year stone 1941,15,3
2032,Landscape Item,LND Year stone 1942,15,3
2033,Landscape Item,LND Year stone 1943,15,3
2034,Landscape Item,LND Cross POW,5,1
2035,Landscape Item,LND shooting range,24,3
2036,Landscape Item,LND Star camp,9,2
2037,Landscape Item,LND Hungarians' camp,16,2
2038,Landscape Item,LND Neutrals' camp,14,2
2039,Landscape Item,LND Vorlager,22,2
2040,Landscape Item,LND POW hospital,618,102
2041,Landscape Item,LND POW camp,8,2
2042,Landscape Item,LND POW Polish soldiers,41,7
2043,Landscape Item,LND Corridor,16,2
2044,Landscape Item,LND path to POW cemetery,24,5
2045,Landscape Item,LND Wehrmacht Truppenlager (Garrison),18,2
2046,Landscape Item,LND Italian POWs,12,2
2047,Landscape Item,LND Kitchen (SK1062),7,1
2048,Landscape Item,LND POW hospital area,17,3
2049,Landscape Item,LND Special camp for Polish prisoners,33,6
2050,Landscape Item,LND Hygiene and latrines,18,3
2051,Landscape Item,LND The camp's perimeter and watchtowers,36,5
2052,Contextual Item,CTX Täterschaft,1263,189
2053,Contextual Item,Die Verladerampe,371,62
2054,Landscape Item,LND Appelplatz Sternlager,33,7
2055,Oral History,Test item audio,15,3
2056,Physical Object,Fotoapparat Leica III von Wieslaw Chrzanowski,341,56
2057,Physical Object,Gestickte Katze,319,55
2058,Landscape Item,LND DemoExhibitBBG,18,2
2059,Viewpoint,ViewpointBBGPage1,0,0
2060,Viewpoint,ViewpointBBGPage2,0,0
2061,Viewpoint,ViewpointBBGPage3,0,0
2062,Landscape Item,BBMemo2024 LND Star Camp,9,2
2063,Contextual Item,BBMemo2024 The Star Camp,497,83
2064,Still Image,BBMemo2024 Blick in das Sternlager,40,7
2065,Landscape Item,BBMemo2024 LND Vegetable Cellar,16,2
2066,Contextual Item,"BBMemo2024 Food, Kitchens",553,90
2067,Still Image,BBMemo2024 Egy kis tábori élet,96,13
2068,Oral History,BBMemo2024 Arbeitskommandos innerhalb des Lagers,2052,378
2069,Landscape Item,BBMemo2024 LND Gate to Prisoner Compound,418,71
2070,Contextual Item,BBMemo2024 The Gate to the Concentration Camp Prisoners' Compound,447,75
2071,Landscape Item,BBMemo2024 LND Concentration camp Bergen-Belsen,32,3
2072,Contextual Item,"BBMemo2024 CTX: The Concentration Camp, Introduction",1277,198
2073,Landscape Item,BBMemo2024 LND Camp's Main Entrance,515,82
2074,Still Image,BBMemo2024 Gate to the Belsen camp,186,31
2075,Landscape Item,BBMemo2024 LND Train Loading Platform,9,2
2076,Contextual Item,BBMemo2024 Die Verladerampe (The Loading Platform),405,55
2077,Still Image,BBMemo2024 Loading platform,148,21
2078,Landscape Item,BBMemo2024 LND Hungarians' Camp,16,2
2079,Contextual Item,BBMemo2024 The Hungarians' Camp,518,84
2080,Text Item,"BBMemo2024 Unterbringung im Ungarnlager, Dezember 1944",799,137
2081,Landscape Item,BBMemo2024 LND Women's camp,632,101
2082,Contextual Item,BBMemo2024 The Women's Camp,629,101
2083,Landscape Item,BBMemo2024 LND Men's camp,473,71
2084,Contextual Item,BBMemo2024 The Men's Camp,477,72
2085,Text Item,BBMemo2024 Beschreibung des Männerlagers,817,147
2086,Landscape Item,BBMemo2024 LND Workshops,9,1
2087,Contextual Item,BBMemo2024 Workshops,600,95
2088,Landscape Item,BBMemo2024 LND Neutrals' camp,14,2
2089,Contextual Item,BBMemo2024 Neutrals' Camp,257,41
2090,Landscape Item,BBMemo2024 LND Delousing (2),15,2
2091,Contextual Item,BBMemo2024 Delousing Baths,625,100
2092,Landscape Item,BBMemo2024 LND Crematorium (Camp 1),11,1
2093,Still Image,BBMemo2024 Crematorium 4/28/1945,122,18
2094,Landscape Item,BBMemo2024 LND Kitchen (SK1062),7,1
2095,Still Image,"BBMemo2024 Anbau an eine Küchenbaracke, 1944",54,8
2096,Oral History,"BBMemo2024 Arbeiten in Küche II, 1944",381,67
2097,Landscape Item,BBMemo2024 LND Special camp for Polish prisoners,33,6
2098,Contextual Item,BBMemo2024 Special Camp for Jews from Poland,364,60
2099,Text Item,BBMemo2024 Der Tagesablauf im polnischen Sonderlager,800,146
2100,Landscape Item,BBMemo2024 LND Hygiene and latrines,20,3
2101,Landscape Item,BBMemo2024 Latrine Huts,403,70
2102,Oral History,"BBMemo2024 Sanitäre Situation in der Baracke, 1944",806,140
2103,Landscape Item,BBMemo2024 LND Main street,640,115
2104,Still Image,BBMemo2024 A Bergen-Belsen-i tábor távlati képe,206,30
